date,kwh,water_m3,waste_kg,laundry_kg,occupied_rooms
2026-06-01,274.6,33.3,117.0,53.3,26
2026-06-02,285.7,34.7,121.4,55.3,27
2026-06-03,296.8,36.2,125.8,57.3,28
2026-06-04,276.1,33.8,116.8,53.1,26
2026-06-05,329.8,39.7,139.1,63.3,31
2026-06-06,337.9,41.2,143.5,65.3,32
2026-06-07,275.1,33.6,116.5,53.0,26
2026-06-08,286.2,35.1,120.9,55.0,27
2026-06-09,297.4,35.8,125.3,57.0,28
2026-06-10,276.6,33.5,116.3,52.8,26
2026-06-11,285.1,34.9,120.7,54.8,27
2026-06-12,338.6,41.6,142.9,64.9,32
2026-06-13,318.0,38.4,133.9,60.8,30
2026-06-14,286.7,34.7,120.4,54.6,27
2026-06-15,297.9,36.2,124.8,56.6,28
2026-06-16,274.6,33.8,115.8,52.5,26
2026-06-17,285.7,34.6,120.2,54.5,27
2026-06-18,296.8,36.0,124.6,56.4,28
2026-06-19,318.6,38.8,133.4,60.4,30
2026-06-20,329.8,40.3,137.7,62.4,31
2026-06-21,295.7,35.8,124.3,56.3,28
2026-06-22,275.1,33.5,115.4,52.2,26
2026-06-23,286.2,34.9,119.7,54.2,27
2026-06-24,297.4,36.4,124.1,56.1,28
2026-06-25,276.6,33.3,115.1,52.1,26
2026-06-26,327.4,39.9,137.2,62.0,31
2026-06-27,338.6,41.4,141.5,63.9,32
2026-06-28,275.6,33.8,114.9,51.9,26
2026-06-29,286.7,34.6,119.2,53.8,27
2026-06-30,297.9,36.0,123.6,55.8,28
2026-07-01,261.6,33.6,114.7,51.7,26
2026-07-02,272.2,35.1,119.0,53.7,27
2026-07-03,323.2,41.0,140.9,63.6,32
2026-07-04,303.6,38.6,132.0,59.5,30
2026-07-05,273.8,34.9,118.7,53.5,27
2026-07-06,281.7,36.4,123.1,55.4,28
2026-07-07,262.1,33.3,114.2,51.4,26
2026-07-08,272.7,34.7,118.5,53.4,27
2026-07-09,283.4,36.2,122.8,55.3,28
2026-07-10,304.2,39.0,131.5,59.2,30
2026-07-11,311.9,39.7,135.8,61.1,31
2026-07-12,282.2,36.0,122.6,55.1,28
2026-07-13,262.6,33.6,113.7,51.1,26
2026-07-14,273.2,35.1,118.0,53.0,27
2026-07-15,283.9,35.8,122.3,54.9,28
2026-07-16,261.6,33.5,113.5,51.0,26
2026-07-17,312.5,40.1,135.2,60.7,31
2026-07-18,323.2,41.6,139.5,62.6,32
2026-07-19,263.1,33.3,113.3,50.8,26
2026-07-20,273.8,34.7,117.5,52.7,27
2026-07-21,281.7,36.2,121.8,54.6,28
2026-07-22,262.1,33.8,113.0,50.6,26
2026-07-23,272.7,34.6,117.3,52.5,27
2026-07-24,323.8,41.2,138.9,62.2,32
2026-07-25,304.2,38.8,130.1,58.3,30
2026-07-26,271.6,35.1,117.0,52.4,27
2026-07-27,282.2,35.8,121.3,54.3,28
2026-07-28,262.6,33.5,112.6,50.3,26
2026-07-29,273.2,34.9,116.8,52.2,27
2026-07-30,283.9,36.4,121.0,54.1,28
2026-07-31,277.8,38.4,129.6,57.9,30
2026-08-01,287.7,39.9,133.8,59.8,31
2026-08-02,260.4,36.2,120.8,53.9,28
2026-08-03,242.3,33.8,112.1,50.0,26
2026-08-04,252.2,34.6,116.3,51.9,27
2026-08-05,259.3,36.0,120.5,53.8,28
2026-08-06,241.3,33.6,111.9,49.9,26
2026-08-07,288.3,40.3,133.3,59.4,31
2026-08-08,298.2,41.0,137.5,61.2,32
2026-08-09,242.8,33.5,111.6,49.7,26
2026-08-10,250.0,34.9,115.8,51.6,27
2026-08-11,259.8,36.4,120.0,53.4,28
2026-08-12,241.8,33.3,111.4,49.6,26
2026-08-13,251.6,34.7,115.6,51.4,27
2026-08-14,298.9,41.4,136.9,60.9,32
2026-08-15,277.8,101.4,128.2,57.0,30
2026-08-16,250.6,34.6,115.3,51.2,27
2026-08-17,260.4,36.0,119.5,53.1,28
2026-08-18,242.3,33.6,110.9,49.2,26
2026-08-19,252.2,35.1,115.1,51.1,27
2026-08-20,259.3,35.8,119.3,52.9,28
2026-08-21,278.4,38.6,127.7,56.6,30
2026-08-22,288.3,40.1,131.9,58.5,31
2026-08-23,261.0,36.4,119.0,52.8,28
2026-08-24,242.8,33.3,110.4,48.9,26
2026-08-25,250.0,34.7,114.6,50.8,27
2026-08-26,259.8,36.2,118.8,52.6,28
2026-08-27,241.8,33.8,110.2,48.8,26
2026-08-28,288.9,39.7,131.3,58.1,31
2026-08-29,298.9,41.2,135.5,59.9,32
